iter	RMSE
0	1.061252521
1	1.050867856
2	1.039085942
3	1.029439018
4	1.016112057
5	1.003666656
6	0.9931937694
7	0.9820616863
8	0.9705138331
9	0.9663786863
10	0.9532334073
11	0.9418364596
12	0.930142933
13	0.9220135095
14	0.912786734
15	0.9041061453
16	0.8939300061
17	0.8852174326
18	0.874938184
19	0.8654932838
20	0.8543989301
21	0.8450827361
22	0.834418813
23	0.8249478907
24	0.8133127259
25	0.8035266105
26	0.7958663757
27	0.791784482
28	0.7847865611
29	0.7788712062
30	0.7692182637
31	0.761590667
32	0.7536775896
33	0.7446070295
34	0.7370031266
35	0.7269677454
36	0.7190999007
37	0.7105789529
38	0.7041702684
39	0.6990512683
40	0.6925010029
41	0.6835972345
42	0.6757994301
43	0.6653615489
44	0.658384167
45	0.6515387792
46	0.6445077067
47	0.6397489366
48	0.6323039515
49	0.6251778859
50	0.6198820422
51	0.6153213301
52	0.6059437014
53	0.5989668475
54	0.5941367493
55	0.5867423773
