iter	Passed	Remaining
0	49	49022
1	49	24910
2	50	16802
3	51	12790
4	52	10380
5	52	8772
6	53	7621
7	54	6758
8	55	6094
9	56	5569
10	57	5129
11	57	4761
12	58	4449
13	58	4153
14	59	3922
15	60	3721
16	61	3544
17	61	3372
18	62	3232
19	63	3106
20	64	2983
21	64	2877
22	65	2782
23	66	2695
24	67	2615
25	67	2542
26	68	2473
27	68	2391
28	69	2320
29	69	2257
30	70	2196
31	70	2141
32	71	2086
33	71	2034
34	71	1984
35	72	1942
36	72	1899
37	73	1856
38	73	1814
39	74	1776
40	74	1740
41	74	1706
42	75	1673
43	75	1641
44	75	1612
45	76	1583
46	76	1555
47	77	1528
48	77	1501
49	77	1475
50	78	1451
51	78	1426
52	78	1404
53	78	1382
54	79	1361
55	79	1341
