game_pk,game_date,game_type,season,away_team,away_team_id,home_team,home_team_id,venue,status
745444,2024-03-20,R,2024,Los Angeles Dodgers,119,San Diego Padres,135,Gocheok Sky Dome,Final
746175,2024-03-21,R,2024,San Diego Padres,135,Los Angeles Dodgers,119,Gocheok Sky Dome,Final
747060,2024-03-28,R,2024,Los Angeles Angels,108,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
746737,2024-03-28,R,2024,Washington Nationals,120,Cincinnati Reds,113,Great American Ball Park,Final
745445,2024-03-28,R,2024,San Francisco Giants,137,San Diego Padres,135,Petco Park,Final
746165,2024-03-28,R,2024,St. Louis Cardinals,138,Los Angeles Dodgers,119,Dodger Stadium,Final
745116,2024-03-28,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
746335,2024-03-28,R,2024,Minnesota Twins,142,Kansas City Royals,118,Kauffman Stadium,Final
746821,2024-03-28,R,2024,Detroit Tigers,116,Chicago White Sox,145,Guaranteed Rate Field,Final
746089,2024-03-28,R,2024,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
746418,2024-03-28,R,2024,New York Yankees,147,Houston Astros,117,Minute Maid Park,Final
745039,2024-03-28,R,2024,Chicago Cubs,112,Texas Rangers,140,Globe Life Field,Final
745687,2024-03-28,R,2024,Cleveland Guardians,114,Oakland Athletics,133,Oakland Coliseum,Final
747224,2024-03-28,R,2024,Colorado Rockies,115,Arizona Diamondbacks,109,Chase Field,Final
745283,2024-03-28,R,2024,Boston Red Sox,111,Seattle Mariners,136,T-Mobile Park,Final
745848,2024-03-29,R,2024,Milwaukee Brewers,158,New York Mets,121,Citi Field,Postponed
745604,2024-03-29,R,2024,Atlanta Braves,144,Philadelphia Phillies,143,Citizens Bank Park,Postponed
745848,2024-03-29,R,2024,Milwaukee Brewers,158,New York Mets,121,Citi Field,Final
745604,2024-03-29,R,2024,Atlanta Braves,144,Philadelphia Phillies,143,Citizens Bank Park,Final
745117,2024-03-29,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
746091,2024-03-29,R,2024,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
746412,2024-03-29,R,2024,New York Yankees,147,Houston Astros,117,Minute Maid Park,Final
747223,2024-03-29,R,2024,Colorado Rockies,115,Arizona Diamondbacks,109,Chase Field,Final
745682,2024-03-29,R,2024,Cleveland Guardians,114,Oakland Athletics,133,Oakland Coliseum,Final
745276,2024-03-29,R,2024,Boston Red Sox,111,Seattle Mariners,136,T-Mobile Park,Final
745435,2024-03-29,R,2024,San Francisco Giants,137,San Diego Padres,135,Petco Park,Final
746167,2024-03-29,R,2024,St. Louis Cardinals,138,Los Angeles Dodgers,119,Dodger Stadium,Final
745850,2024-03-30,R,2024,Milwaukee Brewers,158,New York Mets,121,Citi Field,Final
746818,2024-03-30,R,2024,Detroit Tigers,116,Chicago White Sox,145,Guaranteed Rate Field,Final
747063,2024-03-30,R,2024,Los Angeles Angels,108,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745599,2024-03-30,R,2024,Atlanta Braves,144,Philadelphia Phillies,143,Citizens Bank Park,Final
745684,2024-03-30,R,2024,Cleveland Guardians,114,Oakland Athletics,133,Oakland Coliseum,Final
746736,2024-03-30,R,2024,Washington Nationals,120,Cincinnati Reds,113,Great American Ball Park,Final
745119,2024-03-30,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
746333,2024-03-30,R,2024,Minnesota Twins,142,Kansas City Royals,118,Kauffman Stadium,Final
746087,2024-03-30,R,2024,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
745037,2024-03-30,R,2024,Chicago Cubs,112,Texas Rangers,140,Globe Life Field,Final
745436,2024-03-30,R,2024,San Francisco Giants,137,San Diego Padres,135,Petco Park,Final
746410,2024-03-30,R,2024,New York Yankees,147,Houston Astros,117,Minute Maid Park,Final
747221,2024-03-30,R,2024,Colorado Rockies,115,Arizona Diamondbacks,109,Chase Field,Final
746168,2024-03-30,R,2024,St. Louis Cardinals,138,Los Angeles Dodgers,119,Dodger Stadium,Final
745278,2024-03-30,R,2024,Boston Red Sox,111,Seattle Mariners,136,T-Mobile Park,Final
747062,2024-03-31,R,2024,Los Angeles Angels,108,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745602,2024-03-31,R,2024,Atlanta Braves,144,Philadelphia Phillies,143,Citizens Bank Park,Final
746739,2024-03-31,R,2024,Washington Nationals,120,Cincinnati Reds,113,Great American Ball Park,Final
745115,2024-03-31,R,2024,Toronto Blue Jays,141,Tampa Bay Rays,139,Tropicana Field,Final
746090,2024-03-31,R,2024,Pittsburgh Pirates,134,Miami Marlins,146,loanDepot park,Final
745845,2024-03-31,R,2024,Milwaukee Brewers,158,New York Mets,121,Citi Field,Final
746332,2024-03-31,R,2024,Minnesota Twins,142,Kansas City Royals,118,Kauffman Stadium,Final
746815,2024-03-31,R,2024,Detroit Tigers,116,Chicago White Sox,145,Guaranteed Rate Field,Final
746413,2024-03-31,R,2024,New York Yankees,147,Houston Astros,117,Minute Maid Park,Final
745035,2024-03-31,R,2024,Chicago Cubs,112,Texas Rangers,140,Globe Life Field,Final
745683,2024-03-31,R,2024,Cleveland Guardians,114,Oakland Athletics,133,Oakland Coliseum,Final
747222,2024-03-31,R,2024,Colorado Rockies,115,Arizona Diamondbacks,109,Chase Field,Final
745279,2024-03-31,R,2024,Boston Red Sox,111,Seattle Mariners,136,T-Mobile Park,Final
745438,2024-03-31,R,2024,San Francisco Giants,137,San Diego Padres,135,Petco Park,Final
746166,2024-03-31,R,2024,St. Louis Cardinals,138,Los Angeles Dodgers,119,Dodger Stadium,Final
746817,2024-04-01,R,2024,Atlanta Braves,144,Chicago White Sox,145,Guaranteed Rate Field,Completed Early
746899,2024-04-01,R,2024,Colorado Rockies,115,Chicago Cubs,112,Wrigley Field,Final
744875,2024-04-01,R,2024,Pittsburgh Pirates,134,Washington Nationals,120,Nationals Park,Final
747058,2024-04-01,R,2024,Kansas City Royals,118,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745600,2024-04-01,R,2024,Cincinnati Reds,113,Philadelphia Phillies,143,Citizens Bank Park,Final
746085,2024-04-01,R,2024,Los Angeles Angels,108,Miami Marlins,146,loanDepot park,Final
745109,2024-04-01,R,2024,Texas Rangers,140,Tampa Bay Rays,139,Tropicana Field,Final
745842,2024-04-01,R,2024,Detroit Tigers,116,New York Mets,121,Citi Field,Final
746409,2024-04-01,R,2024,Toronto Blue Jays,141,Houston Astros,117,Minute Maid Park,Final
745675,2024-04-01,R,2024,Boston Red Sox,111,Oakland Athletics,133,Oakland Coliseum,Final
745277,2024-04-01,R,2024,Cleveland Guardians,114,Seattle Mariners,136,T-Mobile Park,Final
745437,2024-04-01,R,2024,St. Louis Cardinals,138,San Diego Padres,135,Petco Park,Final
747218,2024-04-01,R,2024,New York Yankees,147,Arizona Diamondbacks,109,Chase Field,Final
746170,2024-04-01,R,2024,San Francisco Giants,137,Los Angeles Dodgers,119,Dodger Stadium,Final
746009,2024-04-02,R,2024,Minnesota Twins,142,Milwaukee Brewers,158,American Family Field,Final
747057,2024-04-02,R,2024,Kansas City Royals,118,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745598,2024-04-02,R,2024,Cincinnati Reds,113,Philadelphia Phillies,143,Citizens Bank Park,Final
746086,2024-04-02,R,2024,Los Angeles Angels,108,Miami Marlins,146,loanDepot park,Final
745111,2024-04-02,R,2024,Texas Rangers,140,Tampa Bay Rays,139,Tropicana Field,Final
746898,2024-04-02,R,2024,Colorado Rockies,115,Chicago Cubs,112,Wrigley Field,Final
746814,2024-04-02,R,2024,Atlanta Braves,144,Chicago White Sox,145,Guaranteed Rate Field,Final
746411,2024-04-02,R,2024,Toronto Blue Jays,141,Houston Astros,117,Minute Maid Park,Final
745680,2024-04-02,R,2024,Boston Red Sox,111,Oakland Athletics,133,Oakland Coliseum,Final
745273,2024-04-02,R,2024,Cleveland Guardians,114,Seattle Mariners,136,T-Mobile Park,Final
745439,2024-04-02,R,2024,St. Louis Cardinals,138,San Diego Padres,135,Petco Park,Final
747220,2024-04-02,R,2024,New York Yankees,147,Arizona Diamondbacks,109,Chase Field,Final
746169,2024-04-02,R,2024,San Francisco Giants,137,Los Angeles Dodgers,119,Dodger Stadium,Final
745844,2024-04-04,R,2024,Detroit Tigers,116,New York Mets,121,Citi Field,Postponed
747059,2024-04-03,R,2024,Kansas City Royals,118,Baltimore Orioles,110,Oriole Park at Camden Yards,Final
745114,2024-04-03,R,2024,Texas Rangers,140,Tampa Bay Rays,139,Tropicana Field,Final
746083,2024-04-03,R,2024,Los Angeles Angels,108,Miami Marlins,146,loanDepot park,Final
746008,2024-04-03,R,2024,Minnesota Twins,142,Milwaukee Brewers,158,American Family Field,Final
745678,2024-04-03,R,2024,Boston Red Sox,111,Oakland Athletics,133,Oakland Coliseum,Final
747219,2024-04-03,R,2024,New York Yankees,147,Arizona Diamondbacks,109,Chase Field,Final
745603,2024-04-03,R,2024,Cincinnati Reds,113,Philadelphia Phillies,143,Citizens Bank Park,Final
745275,2024-04-03,R,2024,Cleveland Guardians,114,Seattle Mariners,136,T-Mobile Park,Final
745440,2024-04-03,R,2024,St. Louis Cardinals,138,San Diego Padres,135,Petco Park,Final
744869,2024-04-03,R,2024,Pittsburgh Pirates,134,Washington Nationals,120,Nationals Park,Final
746900,2024-04-03,R,2024,Colorado Rockies,115,Chicago Cubs,112,Wrigley Field,Final
746407,2024-04-03,R,2024,Toronto Blue Jays,141,Houston Astros,117,Minute Maid Park,Final
746163,2024-04-03,R,2024,San Francisco Giants,137,Los Angeles Dodgers,119,Dodger Stadium,Final
746816,2024-06-27,R,2024,Atlanta Braves,144,Chicago White Sox,145,Guaranteed Rate Field,Postponed
