team_id,team_name,team_abbreviation,team_code,file_code,location_name,team_short_name,league,division,venue_name,first_year,active
133,Athletics,ATH,ath,ath,Sacramento,Athletics,American League,American League West,Sutter Health Park,1901,True
134,Pittsburgh Pirates,PIT,pit,pit,Pittsburgh,Pirates,National League,National League Central,PNC Park,1882,True
135,San Diego Padres,SD,sdn,sd,San Diego,Padres,National League,National League West,Petco Park,1968,True
136,Seattle Mariners,SEA,sea,sea,Seattle,Mariners,American League,American League West,T-Mobile Park,1977,True
137,San Francisco Giants,SF,sfn,sf,San Francisco,Giants,National League,National League West,Oracle Park,1883,True
138,St. Louis Cardinals,STL,sln,stl,St. Louis,Cardinals,National League,National League Central,Busch Stadium,1892,True
139,Tampa Bay Rays,TB,tba,tb,Tampa,Rays,American League,American League East,George M. Steinbrenner Field,1996,True
140,Texas Rangers,TEX,tex,tex,Arlington,Rangers,American League,American League West,Globe Life Field,1961,True
141,Toronto Blue Jays,TOR,tor,tor,Toronto,Blue Jays,American League,American League East,Rogers Centre,1977,True
142,Minnesota Twins,MIN,min,min,Minneapolis,Twins,American League,American League Central,Target Field,1901,True
143,Philadelphia Phillies,PHI,phi,phi,Philadelphia,Phillies,National League,National League East,Citizens Bank Park,1883,True
144,Atlanta Braves,ATL,atl,atl,Atlanta,Braves,National League,National League East,Truist Park,1871,True
145,Chicago White Sox,CWS,cha,cws,Chicago,White Sox,American League,American League Central,Rate Field,1901,True
146,Miami Marlins,MIA,mia,mia,Miami,Marlins,National League,National League East,loanDepot park,1991,True
147,New York Yankees,NYY,nya,nyy,Bronx,Yankees,American League,American League East,Yankee Stadium,1903,True
158,Milwaukee Brewers,MIL,mil,mil,Milwaukee,Brewers,National League,National League Central,American Family Field,1968,True
108,Los Angeles Angels,LAA,ana,ana,Anaheim,Angels,American League,American League West,Angel Stadium,1961,True
109,Arizona Diamondbacks,AZ,ari,ari,Phoenix,D-backs,National League,National League West,Chase Field,1996,True
110,Baltimore Orioles,BAL,bal,bal,Baltimore,Orioles,American League,American League East,Oriole Park at Camden Yards,1901,True
111,Boston Red Sox,BOS,bos,bos,Boston,Red Sox,American League,American League East,Fenway Park,1901,True
112,Chicago Cubs,CHC,chn,chc,Chicago,Cubs,National League,National League Central,Wrigley Field,1874,True
113,Cincinnati Reds,CIN,cin,cin,Cincinnati,Reds,National League,National League Central,Great American Ball Park,1882,True
114,Cleveland Guardians,CLE,cle,cle,Cleveland,Guardians,American League,American League Central,Progressive Field,1901,True
115,Colorado Rockies,COL,col,col,Denver,Rockies,National League,National League West,Coors Field,1992,True
116,Detroit Tigers,DET,det,det,Detroit,Tigers,American League,American League Central,Comerica Park,1901,True
117,Houston Astros,HOU,hou,hou,Houston,Astros,American League,American League West,Daikin Park,1962,True
118,Kansas City Royals,KC,kca,kc,Kansas City,Royals,American League,American League Central,Kauffman Stadium,1968,True
119,Los Angeles Dodgers,LAD,lan,la,Los Angeles,Dodgers,National League,National League West,Dodger Stadium,1884,True
120,Washington Nationals,WSH,was,was,Washington,Nationals,National League,National League East,Nationals Park,1968,True
121,New York Mets,NYM,nyn,nym,Flushing,Mets,National League,National League East,Citi Field,1962,True
