game_date,player_name,player_team,opponent_team,opponent_pitcher,at_bats,hits,walks,strikeouts,home_runs,rbi,batting_avg
2024-04-01,Jurickson Profar,ATL,Chicago White Sox,Chicago White Sox_Pitcher_1,4,0,0,0,0,0,0.0
2024-04-01,Colson Montgomery,CWS,Atlanta Braves,Atlanta Braves_Pitcher_5,3,0,0,1,0,0,0.0
2024-04-01,Spencer Strider,ATL,Chicago White Sox,Chicago White Sox_Pitcher_4,4,0,0,2,0,0,0.0
2024-04-01,Mickey Moniak,COL,Chicago Cubs,Chicago Cubs_Pitcher_4,4,3,1,1,0,2,0.75
2024-04-01,Matt Shaw,CHC,Colorado Rockies,Colorado Rockies_Pitcher_5,3,1,0,0,1,1,0.3333333333333333
2024-04-01,Seiya Suzuki,CHC,Colorado Rockies,Colorado Rockies_Pitcher_4,3,2,0,0,1,0,0.6666666666666666
2024-04-01,Oneil Cruz,PIT,Washington Nationals,Washington Nationals_Pitcher_4,3,1,0,2,0,1,0.3333333333333333
2024-04-01,Paul Skenes,PIT,Washington Nationals,Washington Nationals_Pitcher_4,4,2,0,2,0,0,0.5
2024-04-01,Bubba Chandler,PIT,Washington Nationals,Washington Nationals_Pitcher_3,4,1,0,0,0,0,0.25
2024-04-01,Vinnie Pasquantino,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_4,4,0,0,0,0,0,0.0
2024-04-01,Maikel Garcia,KC,Baltimore Orioles,Baltimore Orioles_Pitcher_4,4,2,0,2,0,1,0.5
2024-04-01,Keegan Akin,BAL,Kansas City Royals,Kansas City Royals_Pitcher_3,4,2,0,0,0,1,0.5
2024-04-01,Andrew Kittredge,BAL,Kansas City Royals,Kansas City Royals_Pitcher_5,4,0,0,1,0,0,0.0
2024-04-01,Adley Rutschman,BAL,Kansas City Royals,Kansas City Royals_Pitcher_3,3,2,0,0,0,0,0.6666666666666666
2024-04-01,Elly De La Cruz,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_2,4,1,0,1,0,1,0.25
2024-04-01,Emilio Pagán,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_1,3,0,0,0,0,0,0.0
2024-04-01,Ranger Suárez,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_4,4,2,0,0,0,1,0.5
2024-04-01,Bryson Stott,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_3,4,1,0,0,0,1,0.25
2024-04-01,Jesús Luzardo,PHI,Cincinnati Reds,Cincinnati Reds_Pitcher_5,4,0,0,0,0,0,0.0
2024-04-01,Andrew Abbott,CIN,Philadelphia Phillies,Philadelphia Phillies_Pitcher_2,4,0,1,1,0,1,0.0
2024-04-01,Xavier Edwards,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_1,4,3,0,0,1,1,0.75
2024-04-01,Taylor Ward,LAA,Miami Marlins,Miami Marlins_Pitcher_2,4,1,0,1,0,1,0.25
2024-04-01,Calvin Faucher,MIA,Los Angeles Angels,Los Angeles Angels_Pitcher_2,4,1,0,1,0,0,0.25
