team,venue,city,latitude,longitude,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_degrees,wind_direction_cardinal,wind_gusts_kmh,cloud_cover_pct,precipitation_mm,prediction,confidence,timestamp
Arizona Diamondbacks,Chase Field,"Phoenix, AZ",33.4452,-112.0667,28.0,20,1015.3,3.6,96,E,4.3,16,0.0,Sunny,1.0,2025-11-12T19:45
Atlanta Braves,Truist Park,"Atlanta, GA",33.8903,-84.4677,17.7,47,1018.7,18.0,273,W,35.3,2,0.0,Sunny,0.71,2025-11-12T19:45
Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, MD",39.2839,-76.6217,14.9,32,1007.8,22.3,269,W,41.8,0,0.0,Sunny,0.51,2025-11-12T19:45
Boston Red Sox,Fenway Park,"Boston, MA",42.3467,-71.0972,6.6,42,1003.9,20.2,259,W,35.6,3,0.0,Sunny,0.51,2025-11-12T19:45
Chicago Cubs,Wrigley Field,"Chicago, IL",41.9484,-87.6553,12.2,36,1012.5,24.6,277,W,43.6,0,0.0,Sunny,0.52,2025-11-12T19:45
Chicago White Sox,Guaranteed Rate Field,"Chicago, IL",41.8299,-87.6338,12.1,37,1012.7,24.6,275,W,44.3,0,0.0,Sunny,0.71,2025-11-12T19:45
Cincinnati Reds,Great American Ball Park,"Cincinnati, OH",39.0974,-84.5086,13.9,30,1014.9,26.1,277,W,51.5,1,0.0,Sunny,0.71,2025-11-12T19:45
Cleveland Guardians,Progressive Field,"Cleveland, OH",41.4962,-81.6852,8.2,76,1008.5,25.9,256,WSW,50.0,45,0.0,Rainy,0.73,2025-11-12T19:45
Colorado Rockies,Coors Field,"Denver, CO",39.7559,-104.9942,18.5,18,1010.8,8.0,18,NNE,9.4,10,0.0,Sunny,0.51,2025-11-12T19:45
Detroit Tigers,Comerica Park,"Detroit, MI",42.3391,-83.0485,9.3,55,1006.9,25.2,272,W,47.2,100,0.0,Rainy,0.76,2025-11-12T19:45
Houston Astros,Minute Maid Park,"Houston, TX",29.7573,-95.3556,25.3,57,1019.5,9.5,189,S,16.6,66,0.0,Sunny,0.73,2025-11-12T19:45
Kansas City Royals,Kauffman Stadium,"Kansas City, MO",39.0517,-94.4803,19.8,37,1019.0,9.2,315,NW,18.0,0,0.0,Sunny,0.71,2025-11-12T19:45
Los Angeles Angels,Angel Stadium,"Anaheim, CA",33.8003,-117.8827,21.9,71,1017.2,7.6,267,W,8.6,100,0.0,Rainy,0.51,2025-11-12T19:45
Los Angeles Dodgers,Dodger Stadium,"Los Angeles, CA",34.0739,-118.24,21.2,67,1017.2,4.8,228,SW,5.0,97,0.0,Rainy,0.51,2025-11-12T19:45
Miami Marlins,LoanDepot Park,"Miami, FL",25.7781,-80.2197,23.1,51,1021.0,13.1,58,ENE,18.4,93,0.0,Sunny,0.73,2025-11-12T19:45
Milwaukee Brewers,American Family Field,"Milwaukee, WI",43.028,-87.9712,11.7,32,1011.0,26.0,287,WNW,48.2,0,0.0,Sunny,0.51,2025-11-12T19:45
Minnesota Twins,Target Field,"Minneapolis, MN",44.9817,-93.2776,10.8,45,1015.0,24.3,297,WNW,42.8,0,0.0,Sunny,0.71,2025-11-12T19:45
New York Mets,Citi Field,"New York, NY",40.7571,-73.8458,8.9,41,1005.5,24.0,253,WSW,42.5,42,0.0,Sunny,0.51,2025-11-12T19:45
New York Yankees,Yankee Stadium,"New York, NY",40.8296,-73.9262,8.9,41,1005.4,23.2,251,WSW,37.4,17,0.0,Sunny,0.51,2025-11-12T19:45
Oakland Athletics,Oakland Coliseum,"Oakland, CA",37.7516,-122.2005,18.3,70,1015.0,11.4,167,SSE,19.4,58,0.0,Rainy,0.8,2025-11-12T19:45
Philadelphia Phillies,Citizens Bank Park,"Philadelphia, PA",39.9061,-75.1665,11.7,38,1007.1,20.9,251,WSW,42.8,22,0.0,Sunny,0.51,2025-11-12T19:45
Pittsburgh Pirates,PNC Park,"Pittsburgh, PA",40.4469,-80.0057,10.1,58,1009.1,26.3,251,WSW,49.0,93,0.0,Rainy,0.76,2025-11-12T19:45
San Diego Padres,Petco Park,"San Diego, CA",32.7073,-117.1566,23.6,53,1017.0,8.9,291,WNW,10.4,79,0.0,Sunny,0.73,2025-11-12T19:45
San Francisco Giants,Oracle Park,"San Francisco, CA",37.7786,-122.3893,17.4,65,1015.1,9.9,170,S,19.8,45,0.0,Sunny,0.52,2025-11-12T19:45
Seattle Mariners,T-Mobile Park,"Seattle, WA",47.5914,-122.3325,10.0,89,1009.7,5.5,281,W,5.8,100,0.0,Rainy,1.0,2025-11-12T19:45
St. Louis Cardinals,Busch Stadium,"St. Louis, MO",38.6226,-90.1928,18.2,30,1018.3,13.0,289,WNW,24.5,0,0.0,Sunny,0.71,2025-11-12T19:45
Tampa Bay Rays,Tropicana Field,"St. Petersburg, FL",27.7682,-82.6534,20.8,21,1022.9,1.5,76,ENE,6.1,20,0.0,Sunny,1.0,2025-11-12T19:45
Texas Rangers,Globe Life Field,"Arlington, TX",32.747,-97.0817,24.3,30,1016.7,7.2,198,SSW,13.3,0,0.0,Sunny,1.0,2025-11-12T19:45
Toronto Blue Jays,Rogers Centre,"Toronto, ON",43.6414,-79.3894,7.0,79,1002.0,20.3,258,WSW,44.3,100,0.0,Rainy,1.0,2025-11-12T19:45
Washington Nationals,Nationals Park,"Washington, DC",38.873,-77.0074,16.2,30,1008.0,22.1,264,W,41.0,0,0.0,Sunny,0.51,2025-11-12T19:45
